poll_time_utc,entities_seen,rows_written,status
2026-09-10T19:13:06.460519+00:00,315,173,ok
2026-09-10T19:14:38.130748+00:00,315,179,ok
2026-09-10T19:16:09.426821+00:00,316,181,ok
2026-09-10T19:17:40.925642+00:00,321,187,ok
2026-09-10T19:19:12.483753+00:00,325,187,ok
2026-09-10T21:37:37.156747+00:00,455,296,ok
2026-09-10T21:39:08.562050+00:00,456,296,ok
2026-09-10T21:40:40.182064+00:00,458,299,ok
2026-09-10T21:42:11.489850+00:00,455,302,ok
2026-09-10T21:43:43.019619+00:00,457,299,ok
2026-09-10T23:22:41.334486+00:00,473,299,ok
2026-09-10T23:24:12.544525+00:00,471,298,ok
2026-09-10T23:25:43.628076+00:00,470,296,ok
2026-09-10T23:27:14.726312+00:00,466,291,ok
2026-09-10T23:28:45.772214+00:00,469,301,ok
2026-09-11T01:13:21.587781+00:00,478,228,ok
2026-09-11T01:14:52.741747+00:00,478,229,ok
2026-09-11T01:16:23.556963+00:00,481,237,ok
2026-09-11T01:17:54.963383+00:00,480,236,ok
2026-09-11T01:19:26.355496+00:00,478,236,ok
2026-09-11T05:59:09.558085+00:00,545,324,ok
2026-09-11T06:00:41.200230+00:00,545,321,ok
2026-09-11T06:02:12.736900+00:00,549,335,ok
2026-09-11T06:03:44.470699+00:00,553,345,ok
2026-09-11T06:05:16.289044+00:00,552,345,ok
