service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-04,173F.1396.160.64.A.8.90986680,2000336,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,173F.1396.160.64.A.8.90986680,2000393,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,173F.1396.160.64.A.8.90986680,2000404,NSN_1a,T1,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,193F.1396.160.64.B.8.90989563,2145662,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,193F.1396.160.64.B.8.90989563,2150411,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,193F.1396.160.64.B.8.90989563,2141311,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,196E.1396.160.64.B.8.90987427,2074181,NSN_2k,T1,-1,0,6,44,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,196E.1396.160.64.B.8.90987427,2073161,NSN_2k,T1,-1,1,44,44,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,196E.1396.160.64.B.8.90987427,207261,NSN_2k,T1,-1,2,44,44,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,204D.1396.160.64.H.8.90987099,206142,NSN_1a,T1,-1,0,65,74,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,204D.1396.160.64.H.8.90987099,2060104,NSN_1a,T1,-1,1,74,44,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,204D.1396.160.64.H.8.90987099,2060112,NSN_1a,T1,-1,2,44,44,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,103F.1396.160.64.T.8.91318487,2762122,WST_1b,T1,-1,0,8,8,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,103F.1396.160.64.T.8.91318487,2765292,WST_1b,T1,-1,1,8,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,103F.1396.160.64.T.8.91318487,2765301,WST_1b,T1,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,161C.1396.160.124.A.8.90984690,2077301,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,161C.1396.160.124.A.8.90984690,2077311,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,161C.1396.160.124.A.8.90984690,2076241,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,420E.1396.160.64.H.8.90985976,2217191,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,420E.1396.160.64.H.8.90985976,2216172,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,420E.1396.160.64.H.8.90985976,2216161,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,110F.1396.160.112.T.8.90989951,2077301,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,110F.1396.160.112.T.8.90989951,2077311,NSN_2k,T1,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,110F.1396.160.112.T.8.90989951,2076241,NSN_2k,T1,-1,2,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,412D.1396.160.64.H.8.90985574,204476,ESI_1a,T4,-1,0,28,28,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,412D.1396.160.64.H.8.90985574,2205114,ESI_1a,T4,-1,1,28,28,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,412D.1396.160.64.H.8.90985574,2216175,ESI_1a,T4,-1,2,28,28,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,604D.1396.160.64.T.8.90987289,202761,ESI_1a,T4,-1,0,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
2026-09-04,604D.1396.160.64.T.8.90987289,201171,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-03T23:36:45.636249+00:00
