poll_time_utc,entities_seen,rows_written,status
2026-09-07T19:52:27.002571+00:00,314,182,ok
2026-09-07T19:53:58.652299+00:00,319,187,ok
2026-09-07T19:55:30.239098+00:00,312,189,ok
2026-09-07T19:57:01.636635+00:00,314,186,ok
2026-09-07T19:58:33.227390+00:00,317,186,ok
2026-09-07T22:18:25.087111+00:00,452,335,ok
2026-09-07T22:19:56.545543+00:00,459,333,ok
2026-09-07T22:21:27.610119+00:00,464,329,ok
2026-09-07T22:22:58.630180+00:00,464,328,ok
2026-09-07T22:24:29.729373+00:00,463,322,ok
2026-09-08T00:28:35.459793+00:00,472,234,ok
2026-09-08T00:30:06.945116+00:00,471,228,ok
2026-09-08T00:31:37.858994+00:00,475,232,ok
2026-09-08T00:33:08.822226+00:00,473,237,ok
2026-09-08T00:34:39.806001+00:00,470,235,ok
2026-09-08T05:00:05.705790+00:00,526,247,ok
2026-09-08T05:01:37.266674+00:00,531,258,ok
2026-09-08T05:03:08.950709+00:00,533,264,ok
2026-09-08T05:04:40.201929+00:00,538,271,ok
2026-09-08T05:06:11.431892+00:00,537,272,ok
2026-09-08T09:26:02.912596+00:00,534,225,ok
2026-09-08T09:27:34.497969+00:00,530,220,ok
2026-09-08T09:29:06.008575+00:00,526,222,ok
2026-09-08T09:30:37.531421+00:00,525,219,ok
2026-09-08T09:32:08.932960+00:00,530,225,ok
