poll_time_utc,entities_seen,rows_written,status
2026-09-17T18:39:43.824818+00:00,352,201,ok
2026-09-17T18:41:15.310129+00:00,356,202,ok
2026-09-17T18:42:46.324787+00:00,355,203,ok
2026-09-17T18:44:17.303542+00:00,353,204,ok
2026-09-17T18:45:48.273890+00:00,356,205,ok
2026-09-17T21:44:12.386780+00:00,529,346,ok
2026-09-17T21:45:43.579884+00:00,528,355,ok
2026-09-17T21:47:14.745910+00:00,530,360,ok
2026-09-17T21:48:46.223594+00:00,529,360,ok
2026-09-17T21:50:17.719967+00:00,532,364,ok
2026-09-17T23:41:55.175797+00:00,531,316,ok
2026-09-17T23:43:26.486770+00:00,532,310,ok
2026-09-17T23:44:57.745647+00:00,532,314,ok
2026-09-17T23:46:29.330571+00:00,532,311,ok
2026-09-17T23:48:01.159044+00:00,537,312,ok
2026-09-18T01:30:06.490670+00:00,545,267,ok
2026-09-18T01:31:38.064916+00:00,547,269,ok
2026-09-18T01:33:09.553710+00:00,546,271,ok
2026-09-18T01:34:40.957723+00:00,548,272,ok
2026-09-18T01:36:12.850376+00:00,548,267,ok
2026-09-18T06:25:37.756511+00:00,632,335,ok
2026-09-18T06:27:09.597557+00:00,634,334,ok
2026-09-18T06:28:41.209968+00:00,633,335,ok
2026-09-18T06:30:13.067045+00:00,630,331,ok
2026-09-18T06:31:44.939077+00:00,628,335,ok
2026-09-18T11:32:47.020457+00:00,582,228,ok
2026-09-18T11:34:18.477588+00:00,580,225,ok
2026-09-18T11:35:49.903385+00:00,577,220,ok
2026-09-18T11:37:21.237263+00:00,578,219,ok
2026-09-18T11:38:52.398022+00:00,578,218,ok
