poll_time_utc,entities_seen,rows_written,status
2026-09-14T18:54:23.834199+00:00,278,125,ok
2026-09-14T18:55:54.961546+00:00,279,124,ok
2026-09-14T18:57:25.762235+00:00,278,124,ok
2026-09-14T18:58:56.679234+00:00,282,126,ok
2026-09-14T19:00:27.656183+00:00,281,126,ok
2026-09-14T22:10:18.010237+00:00,483,336,ok
2026-09-14T22:11:49.452494+00:00,480,337,ok
2026-09-14T22:13:21.082609+00:00,480,335,ok
2026-09-14T22:14:52.325923+00:00,488,337,ok
2026-09-14T22:16:23.899040+00:00,485,338,ok
2026-09-15T00:35:34.791617+00:00,513,204,ok
2026-09-15T00:37:05.892579+00:00,515,203,ok
2026-09-15T00:38:37.347791+00:00,513,201,ok
2026-09-15T00:40:08.797751+00:00,514,206,ok
2026-09-15T00:41:39.837832+00:00,515,208,ok
