service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-05,139A.442.149.128.A.8.91067831,2060102,NSN_2i,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,139A.442.149.128.A.8.91067831,206141,NSN_2i,T1,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,139A.442.149.128.A.8.91067831,2000403,NSN_2i,T1,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,137A.442.149.128.A.8.91067810,2060103,NSN_2i,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,137A.442.149.128.A.8.91067810,206141,NSN_2i,T1,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,137A.442.149.128.A.8.91067810,2000403,NSN_2i,T1,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,658N.1396.160.64.T.8.91171072,202291,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,152W.1396.160.64.A.8.90987226,208042,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,152W.1396.160.64.A.8.90987226,208172,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,138A.442.149.128.A.8.91064813,2060103,NSN_2i,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,138A.442.149.128.A.8.91064813,206141,NSN_2i,T1,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,138A.442.149.128.A.8.91064813,2000403,NSN_2i,T1,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,163T.1396.160.64.A.8.90985276,2747372,WST_1a,T1,-1,0,526,526,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,163T.1396.160.64.A.8.90985276,2747362,WST_1a,T1,-1,1,526,526,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,163T.1396.160.64.A.8.90985276,2750511,WST_1a,T1,-1,2,85,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,154V.1396.160.64.A.8.90986413,2077312,NSN_1a,T1,-1,0,78,779,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,154V.1396.160.64.A.8.90986413,2077302,NSN_1a,T1,-1,1,-162,-762,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,153T.1396.160.64.A.8.90989487,2750511,WST_1a,T1,-1,0,0,256,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,657A.442.149.128.T.8.91442231,2000344,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,657A.442.149.128.T.8.91442231,2000395,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,657A.442.149.128.T.8.91442231,2000362,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,655A.442.149.128.T.8.91442230,2000344,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,655A.442.149.128.T.8.91442230,2000395,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,655A.442.149.128.T.8.91442230,2000362,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,650A.442.149.128.T.8.91442227,202291,ESI_1a,T4,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,650A.442.149.128.T.8.91442227,202761,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,650A.442.149.128.T.8.91442227,201171,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,127B.442.149.128.A.8.91066016,208172,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,145V.1396.160.64.A.8.90986575,208172,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,104B.442.149.128.T.8.91066550,2750513,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,104B.442.149.128.T.8.91066550,2747361,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,104B.442.149.128.T.8.91066550,2747371,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,652A.442.149.128.T.8.91442229,202292,ESI_1a,T4,-1,0,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,652A.442.149.128.T.8.91442229,202761,ESI_1a,T4,-1,1,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,652A.442.149.128.T.8.91442229,201171,ESI_1a,T4,-1,2,0,0,SCHEDULED,2026-09-04T17:39:55.349835+00:00
2026-09-05,602S.1396.160.64.T.8.90987504,2223292,ESI_1a,T4,-1,19,0,,SCHEDULED,2026-09-04T17:39:55.349835+00:00
