poll_time_utc,entities_seen,rows_written,status
2026-09-23T17:03:14.903634+00:00,142,38,ok
2026-09-23T17:04:46.389016+00:00,142,38,ok
2026-09-23T17:06:17.802506+00:00,142,38,ok
2026-09-23T17:07:49.212472+00:00,143,38,ok
2026-09-23T17:09:20.612332+00:00,144,38,ok
2026-09-23T20:11:08.665598+00:00,338,205,ok
2026-09-23T20:12:39.803228+00:00,341,206,ok
2026-09-23T20:14:11.217453+00:00,342,204,ok
2026-09-23T20:15:42.279336+00:00,345,206,ok
2026-09-23T20:17:13.436160+00:00,349,210,ok
2026-09-23T22:56:04.880555+00:00,433,309,ok
2026-09-23T22:57:35.962136+00:00,434,310,ok
2026-09-23T22:59:07.588831+00:00,431,308,ok
2026-09-23T23:00:38.648393+00:00,426,306,ok
2026-09-23T23:02:09.773193+00:00,429,315,ok
2026-09-24T00:59:07.948140+00:00,436,221,ok
2026-09-24T01:00:39.308019+00:00,432,215,ok
2026-09-24T01:02:10.395385+00:00,431,215,ok
2026-09-24T01:03:41.307921+00:00,432,216,ok
2026-09-24T01:05:12.386041+00:00,433,216,ok
2026-09-24T05:53:52.782184+00:00,509,304,ok
2026-09-24T05:55:23.859803+00:00,511,309,ok
2026-09-24T05:56:55.241645+00:00,506,303,ok
2026-09-24T05:58:26.331936+00:00,503,299,ok
2026-09-24T05:59:57.954578+00:00,500,298,ok
