service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-20,803M.1406.154.2.A.8.91168723,2000326,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,803M.1406.154.2.A.8.91168723,2015132,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,803M.1406.154.2.A.8.91168723,2135233,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,809L.1406.154.2.T.8.91167849,2750513,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,809L.1406.154.2.T.8.91167849,2747361,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,809L.1406.154.2.T.8.91167849,2747371,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,801N.1406.154.2.B.8.91167623,2000326,WST_1a,T1,-1,0,39,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,801N.1406.154.2.B.8.91167623,2015132,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,801N.1406.154.2.B.8.91167623,2135233,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,605M.1406.154.130.T.8.91169853,2232281,ESI_2a,T4,-1,0,34,69,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,605M.1406.154.130.T.8.91169853,2232291,ESI_2a,T4,-1,1,69,39,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,605M.1406.154.130.T.8.91169853,2226111,ESI_2a,T4,-1,2,39,39,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808M.1406.154.2.A.8.91168124,2750511,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808M.1406.154.2.A.8.91168124,2747361,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808M.1406.154.2.A.8.91168124,2747371,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,806M.1406.154.2.A.8.91170842,2750511,WST_2c,T1,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,806M.1406.154.2.A.8.91170842,2747361,WST_2c,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,806M.1406.154.2.A.8.91170842,2747371,WST_2c,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,614P.1406.154.2.T.8.91167741,202292,ESI_1d,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,614P.1406.154.2.T.8.91167741,202761,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,614P.1406.154.2.T.8.91167741,201171,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,600L.1406.154.130.T.8.91170549,204475,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,600L.1406.154.130.T.8.91170549,2015141,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,600L.1406.154.130.T.8.91170549,2000344,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808R.1406.154.128.A.8.91170589,2750511,WST_1a,T1,-1,0,170,-147,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808L.1406.154.2.A.8.91170125,2770594,WST_1a,T1,-1,0,34,63,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808L.1406.154.2.A.8.91170125,2760304,WST_1a,T1,-1,1,63,3,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,808L.1406.154.2.A.8.91170125,2747372,WST_1a,T1,-1,2,3,3,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,604R.1406.154.128.T.8.91168219,2220363,ESI_2a,T4,-1,0,93,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,603K.1406.154.2.T.8.91168651,2230222,ESI_1d,T4,-1,0,14,14,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,603K.1406.154.2.T.8.91168651,2230212,ESI_1d,T4,-1,1,14,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,612M.1406.154.2.T.8.91167579,202292,ESI_1d,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,612M.1406.154.2.T.8.91167579,202761,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,612M.1406.154.2.T.8.91167579,201171,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,615N.1406.154.2.T.8.91170761,2000344,ESI_2d,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,615N.1406.154.2.T.8.91170761,2000395,ESI_2d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,615N.1406.154.2.T.8.91170761,2000362,ESI_2d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,611M.1406.154.2.T.8.91170496,2000345,ESI_1d,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,611M.1406.154.2.T.8.91170496,2015142,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,611M.1406.154.2.T.8.91170496,204476,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,609M.1406.154.2.T.8.91169496,2232293,ESI_1d,T4,-1,0,9,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,609M.1406.154.2.T.8.91169496,2232272,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,609M.1406.154.2.T.8.91169496,2227102,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,616R.1406.154.2.T.8.91168354,2230211,ESI_2d,T4,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,616R.1406.154.2.T.8.91168354,2230221,ESI_2d,T4,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,616R.1406.154.2.T.8.91168354,2229221,ESI_2d,T4,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,804N.1406.154.2.T.8.91170316,2000325,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,804N.1406.154.2.T.8.91170316,2015132,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,804N.1406.154.2.T.8.91170316,2135233,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
2026-09-20,802N.1406.154.2.A.8.91169217,2000325,WST_1a,T1,-1,0,57,0,SCHEDULED,2026-09-20T09:52:00.984260+00:00
