poll_time_utc,entities_seen,rows_written,status
2026-09-19T18:51:53.721292+00:00,228,73,ok
2026-09-19T18:53:25.110787+00:00,228,73,ok
2026-09-19T18:54:56.377362+00:00,231,76,ok
2026-09-19T18:56:27.974760+00:00,234,75,ok
2026-09-19T18:57:59.583800+00:00,235,78,ok
2026-09-19T21:06:44.825982+00:00,275,97,ok
2026-09-19T21:08:15.854838+00:00,273,96,ok
2026-09-19T21:09:46.903974+00:00,276,98,ok
2026-09-19T21:11:17.909890+00:00,275,100,ok
2026-09-19T21:12:49.053754+00:00,274,97,ok
2026-09-19T22:56:28.226362+00:00,329,137,ok
2026-09-19T22:57:59.858128+00:00,327,137,ok
2026-09-19T22:59:31.318642+00:00,325,138,ok
2026-09-19T23:01:02.575612+00:00,329,140,ok
2026-09-19T23:02:34.149455+00:00,330,137,ok
2026-09-20T00:32:49.685392+00:00,337,156,ok
2026-09-20T00:34:20.697543+00:00,339,152,ok
2026-09-20T00:35:51.782782+00:00,341,152,ok
2026-09-20T00:37:22.831085+00:00,342,151,ok
2026-09-20T00:38:54.304093+00:00,336,148,ok
2026-09-20T05:19:16.009618+00:00,325,149,ok
2026-09-20T05:20:47.571492+00:00,326,148,ok
2026-09-20T05:22:18.823781+00:00,326,145,ok
2026-09-20T05:23:49.965466+00:00,327,144,ok
2026-09-20T05:25:20.911449+00:00,326,142,ok
2026-09-20T09:52:00.984260+00:00,365,141,ok
2026-09-20T09:53:32.647311+00:00,363,140,ok
2026-09-20T09:55:03.983833+00:00,363,138,ok
2026-09-20T09:56:35.701227+00:00,364,137,ok
2026-09-20T09:58:07.376723+00:00,362,136,ok
2026-09-20T13:45:08.412719+00:00,302,78,ok
2026-09-20T13:46:39.543582+00:00,307,79,ok
2026-09-20T13:48:10.942688+00:00,304,79,ok
2026-09-20T13:49:42.288959+00:00,301,79,ok
2026-09-20T13:51:13.390844+00:00,301,79,ok
