service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-17,121N.812.150.32.A.8.91118213,2146111,WST_2d,T1,-1,0,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,121N.812.150.32.A.8.91118213,2145641,WST_2d,T1,-1,1,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,121N.812.150.32.A.8.91118213,2145651,WST_2d,T1,-1,2,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,193G.812.150.48.B.8.91114457,2077302,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,605J.812.150.56.T.8.91118021,2220361,ESI_2a,T4,-1,0,55,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,605J.812.150.56.T.8.91118021,2220351,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,605J.812.150.56.T.8.91118021,221891,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,163H.812.150.32.A.8.91117291,2067141,NSN_2k,T1,-1,0,41,41,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,163H.812.150.32.A.8.91117291,206451,NSN_2k,T1,-1,1,41,41,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,163H.812.150.32.A.8.91117291,2065152,NSN_2k,T1,-1,2,41,41,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,369H.812.150.32.H.8.91117247,2232291,ESI_2a,T4,-1,0,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,369H.812.150.32.H.8.91117247,2220363,ESI_2a,T4,-1,1,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,369H.812.150.32.H.8.91117247,2205113,ESI_2a,T4,-1,2,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
2026-09-17,198C.812.150.32.B.8.91116876,2077301,NSN_2k,T1,-1,0,0,0,SCHEDULED,2026-09-17T05:20:21.012502+00:00
