poll_time_utc,entities_seen,rows_written,status
2026-09-12T17:49:22.984094+00:00,186,40,ok
2026-09-12T17:50:54.162590+00:00,220,106,ok
2026-09-12T17:52:25.751794+00:00,229,124,ok
2026-09-12T17:53:57.185805+00:00,229,123,ok
2026-09-12T17:55:28.190766+00:00,231,123,ok
2026-09-12T19:39:40.368142+00:00,330,216,ok
2026-09-12T19:41:11.804480+00:00,325,215,ok
2026-09-12T19:42:43.547668+00:00,326,219,ok
2026-09-12T19:44:14.873061+00:00,326,217,ok
2026-09-12T19:45:46.131176+00:00,327,217,ok
2026-09-12T21:37:23.409789+00:00,349,228,ok
2026-09-12T21:38:54.738417+00:00,349,228,ok
2026-09-12T21:40:26.522381+00:00,349,231,ok
2026-09-12T21:41:57.839767+00:00,349,236,ok
2026-09-12T21:43:29.652251+00:00,351,234,ok
2026-09-12T23:17:36.125237+00:00,371,246,ok
2026-09-12T23:19:07.761100+00:00,369,249,ok
2026-09-12T23:20:39.351451+00:00,367,244,ok
2026-09-12T23:22:10.966958+00:00,368,247,ok
2026-09-12T23:23:42.549110+00:00,368,248,ok
2026-09-13T01:05:13.905200+00:00,386,246,ok
2026-09-13T01:06:45.472521+00:00,391,248,ok
2026-09-13T01:08:16.817920+00:00,391,248,ok
2026-09-13T01:09:48.601705+00:00,392,251,ok
2026-09-13T01:11:20.189710+00:00,391,251,ok
2026-09-13T05:59:42.420794+00:00,376,251,ok
2026-09-13T06:01:14.180778+00:00,372,249,ok
2026-09-13T06:02:45.931612+00:00,373,252,ok
2026-09-13T06:04:17.641899+00:00,372,250,ok
2026-09-13T06:05:48.899254+00:00,376,257,ok
