service_date,trip_id,stop_id,route_id,route_short_name,stop_sequence,stops_ahead,arrival_delay_s,departure_delay_s,schedule_relationship,observed_at_utc
2026-09-26,842X.1308.147.128.A.8.91237729,2000403,NSN_2i,T1,-1,0,55,43,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,842X.1308.147.128.A.8.91237729,2000392,NSN_2i,T1,-1,1,43,13,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,842X.1308.147.128.A.8.91237729,2000338,NSN_2i,T1,-1,2,13,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,614S.1308.147.128.T.8.91236053,2228132,ESI_1d,T4,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,614S.1308.147.128.T.8.91236053,2229222,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,614S.1308.147.128.T.8.91236053,2230222,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,602R.817.160.64.T.8.91205251,202291,ESI_2a,T4,-1,0,45,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,126Y.1308.147.128.A.8.91238695,2000393,NSN_1a,T1,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,126Y.1308.147.128.A.8.91238695,2000404,NSN_1a,T1,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,126Y.1308.147.128.A.8.91238695,206142,NSN_1a,T1,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,606R.1308.147.128.T.8.91237137,202291,ESI_1d,T4,-1,0,2,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,606R.1308.147.128.T.8.91237137,202761,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,606R.1308.147.128.T.8.91237137,201171,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,124W.1308.147.128.A.8.91237706,2070143,NSN_1a,T1,-1,0,187,187,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,124W.1308.147.128.A.8.91237706,207192,NSN_1a,T1,-1,1,187,187,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,124W.1308.147.128.A.8.91237706,207263,NSN_1a,T1,-1,2,187,187,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,138V.817.160.64.A.8.91199958,2077302,NSN_1a,T1,-1,0,90,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,839X.1308.147.128.B.8.91238431,2145663,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,839X.1308.147.128.B.8.91238431,2145653,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,839X.1308.147.128.B.8.91238431,2145643,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,842Y.1308.147.128.A.8.91236523,2000338,WST_1a,T1,-1,0,13,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,842Y.1308.147.128.A.8.91236523,2015134,WST_1a,T1,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,842Y.1308.147.128.A.8.91236523,2135236,WST_1a,T1,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,130X.817.160.64.A.8.91200968,2000338,NSN_2a,T1,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,603P.1308.147.128.T.8.91651849,2216164,ESI_1d,T4,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,603P.1308.147.128.T.8.91651849,2216175,ESI_1d,T4,-1,1,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,603P.1308.147.128.T.8.91651849,2217194,ESI_1d,T4,-1,2,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,820R.1308.147.128.A.8.91238983,2150401,WST_2d,T1,-1,0,158,158,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,820R.1308.147.128.A.8.91238983,2142321,WST_2d,T1,-1,1,158,158,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,820R.1308.147.128.A.8.91238983,2144241,WST_2d,T1,-1,2,158,158,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,821P.1308.147.128.A.8.91238250,2753661,WST_1b,T1,-1,0,290,290,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,821P.1308.147.128.A.8.91238250,2753671,WST_1b,T1,-1,1,290,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,838X.1308.147.128.A.8.91236693,2767124,WST_1a,T1,-1,0,168,168,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,838X.1308.147.128.A.8.91236693,2766144,WST_1a,T1,-1,1,168,168,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,838X.1308.147.128.A.8.91236693,2770594,WST_1a,T1,-1,2,168,168,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,204T.817.160.64.H.8.91203743,2077303,NSN_2a,T1,-1,0,24,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,163T.817.160.64.A.8.91204152,2750511,WST_1a,T1,-1,0,0,0,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,610T.1308.147.128.T.8.91236097,2216163,ESI_2d,T4,-1,0,19,19,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,610T.1308.147.128.T.8.91236097,220593,ESI_2d,T4,-1,1,19,19,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,610T.1308.147.128.T.8.91236097,2205113,ESI_2d,T4,-1,2,19,19,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,605R.1308.147.128.T.8.91237345,2222132,ESI_1a,T4,-1,0,189,189,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,605R.1308.147.128.T.8.91237345,2223292,ESI_1a,T4,-1,1,189,189,SCHEDULED,2026-09-26T14:32:49.157570+00:00
2026-09-26,605R.1308.147.128.T.8.91237345,2223302,ESI_1a,T4,-1,2,189,189,SCHEDULED,2026-09-26T14:32:49.157570+00:00
